Category,Price Range (INR),Referral Fee Percentage
Automotive - Helmets & Riding Gloves,<= 500,6.50%
Automotive - Helmets & Riding Gloves,> 500,8.50%
Automotive - Tyres & Rims,<= 500,5.00%
Automotive - Tyres & Rims,> 500,7.00%
Automotive Vehicles - 2-Wheelers 4-Wheelers and Electric Vehicles,All,5%
Automotive – Car and Bike parts,<= 500,13.00%
Automotive – Car and Bike parts,> 500,14.00%
Automotive – Cleaning kits,<= 500,9.00%
Automotive – Cleaning kits,> 500,12.00%
Automotive Accessories,<= 1000,14%
Automotive Accessories,> 1000,15.50%
Vehicle Tools and Appliances,<= 300,6.50%
Vehicle Tools and Appliances,> 300 and <= 500,7.50%
Vehicle Tools and Appliances,> 500,8.50%
Oils Lubricants,All,8.50%
Automotive – Batteries and air fresheners,<= 500,6.50%
Automotive – Batteries and air fresheners,> 500 and <= 1000,7.50%
Automotive – Batteries and air fresheners,> 1000,8.50%
Car Electronics Devices,<= 500,7.50%
Car Electronics Devices,> 500 and <= 1000,9.50%
Car Electronics Devices,> 1000,10%
Car Electronics Accessories,<= 500,10.50%
Car Electronics Accessories,> 500 and <= 1000,11%
Car Electronics Accessories,> 1000,13%
Baby Hardlines,<= 300,6%
Baby Hardlines,> 300 and <= 500,8.50%
Baby Hardlines,> 500 and <= 1000,6%
Baby Hardlines,> 1000,7.50%
Baby Strollers,<= 300,4%
Baby Strollers,> 300 and <= 1000,6%
Baby Strollers,> 1000,10%
Baby diapers,<= 300,5.00%
Baby diapers,> 300 and <= 500,5.50%
Baby diapers,> 500,9.50%
Books,<= 250,3%
Books,> 250 and <= 500,4.50%
Books,> 500 and <= 1000,9%
Books,> 1000,13.50%
Movies,All,6.50%
Music,All,6.50%
Musical Instruments - Guitars,All,10%
Musical Instruments - Keyboards,<= 500,8.00%
Musical Instruments - Keyboards,> 500,12.00%
Musical Instruments - Microphones,All,9.50%
Musical Instruments - Others,<= 300,10.00%
Musical Instruments - Others,> 300 and <= 500,7.00%
Musical Instruments - Others,> 500 and <= 1000,10.50%
Musical Instruments - Others,> 1000,11.00%
Video Games - Online game services,<= 500,2.00%
Video Games - Online game services,> 500,3.50%
Video Games - Accessories,<= 500,10.50%
Video Games - Accessories,> 500,13.50%
Video Games - Consoles,<= 1000,7.00%
Video Games - Consoles,> 1000,9.00%
Video Games,<= 500,9.00%
Video Games,> 500 and <= 1000,10.00%
Video Games,> 1000,12.00%
Business and Industrial Supplies - Scientific Supplies,<= 300,11%
Business and Industrial Supplies - Scientific Supplies,> 300 and <= 15000,11.50%
Business and Industrial Supplies - Scientific Supplies,> 15000,7%
OTC Medicine,<= 500,12.00%
OTC Medicine,> 500,15.00%
Masks,All,7%
Weighing Scales & Fat Analyzers,<= 300,11%
Weighing Scales & Fat Analyzers,> 300 and <= 500,10.50%
Weighing Scales & Fat Analyzers,> 500,13.50%
3D Printers,All,11%
Business and Industrial Supplies - Material Handling Equipment,All,5.50%
Business and Industrial Supplies - Electrical Testing,All,5%
Business and Industrial Supplies - Power tools & accessories,All,10%
Occupational Safety Supplies,All,5%
Stethoscopes,All,9.50%
Packing materials,All,5%
Power & hand Tools and Water Dispenser,<= 500,8.00%
Power & hand Tools and Water Dispenser,> 500,10.00%
Office products - Office supplies,<= 500,10.00%
Office products - Office supplies,> 500,13.00%
Office products - Electronic Devices,<= 300,7.50%
Office products - Electronic Devices,> 300 and <= 500,4.50%
Office products - Electronic Devices,> 500 and <= 1000,10.00%
Office products - Electronic Devices,> 1000,10.50%
Office products - Arts and Crafts,<= 500,10%
Office products - Arts and Crafts,> 500 and <= 1000,11%
Office products - Arts and Crafts,> 1000,12.50%
Office products - Writing Instruments,<= 300,10%
Office products - Writing Instruments,> 300 and <= 1000,11%
Office products - Writing Instruments,> 1000,12.50%
Apparel - Accessories,<= 500,13%
Apparel - Accessories,> 500,19%
Apparel - Sweat Shirts and Jackets,<= 500,8.00%
Apparel - Sweat Shirts and Jackets,> 500,12.00%
Apparel - Shorts,<= 300,16.50%
Apparel - Shorts,> 300 and <= 500,13.50%
Apparel - Shorts,> 500 and <= 1000,23.50%
Apparel - Shorts,> 1000,24%
Apparel - Baby,<= 300,6.00%
Apparel - Baby,> 300 and <= 500,7.50%
Apparel - Baby,> 500 and <= 1000,14.00%
Apparel - Baby,> 1000,20.00%
Apparel - Ethnic wear,<= 300,6.50%
Apparel - Ethnic wear,> 300 and <= 500,4%
Apparel - Ethnic wear,> 500 and <= 1000,8.00%
Apparel - Ethnic wear,> 1000,17.50%
Apparel - Other innerwear,<= 300,12.00%
Apparel - Other innerwear,> 300 and <= 500,11.00%
Apparel - Other innerwear,> 500 and <= 1000,16.50%
Apparel - Other innerwear,> 1000,18.50%
Apparel - Sleepwear,<= 500,10.00%
Apparel - Sleepwear,> 500 and <= 1000,16.00%
Apparel - Sleepwear,> 1000,19.00%
Apparel - Sarees and Dress Materials,<= 300,10.00%
Apparel - Sarees and Dress Materials,> 300 and <= 500,8.00%
Apparel - Sarees and Dress Materials,> 500 and <= 1000,12.00%
Apparel - Sarees and Dress Materials,> 1000,23.00%
Apparel - Men's T-shirts,<= 300,2.00%
Apparel - Men's T-shirts,> 300 and <= 500,5.00%
Apparel - Men's T-shirts,> 500,21.00%
Apparel - Womens' Innerwear / Lingerie,<= 500,12.00%
Apparel - Womens' Innerwear / Lingerie,> 500 and <= 1000,18.00%
Apparel - Womens' Innerwear / Lingerie,> 1000,15.00%
Backpacks,<= 300,12.00%
Backpacks,> 300 and <= 500,10.00%
Backpacks,> 500 and <= 1000,12.00%
Backpacks,> 1000,14.50%
Eyewear,<= 500,14.00%
Eyewear,> 500 and <= 1000,14.50%
Eyewear,> 1000,18.50%
Fashion Jewellery,<= 500,17.50%
Fashion Jewellery,> 500,22.50%
Fine Jewellery - Gold Coins,All,5%
Fine Jewellery - studded,All,13%
Fine Jewellery - unstudded and solitaire,All,5%
Silver Jewellery,<= 1000,10.50%
Silver Jewellery,> 1000,13.00%
Flip Flops Fashion Sandals and Slippers,<= 500,13.00%
Flip Flops Fashion Sandals and Slippers,> 500 and <= 1000,12.50%
Flip Flops Fashion Sandals and Slippers,> 1000,15.00%
Handbags,<= 300,2.00%
Handbags,> 300 and <= 500,10.00%
Handbags,> 500 and <= 1000,11.00%
Handbags,> 1000,12.00%
Luggage - Suitcase & Trolleys,<= 500,7.50%
Luggage - Suitcase & Trolleys,> 500 and <= 1000,6.50%
Luggage - Suitcase & Trolleys,> 1000,5.50%
Luggage - Travel Accessories,<= 300,10.00%
Luggage - Travel Accessories,> 300 and <= 500,9.00%
Luggage - Travel Accessories,> 500 and <= 1000,10.00%
Luggage - Travel Accessories,> 1000,12.00%
Kids shoes,<= 300,10.00%
Kids shoes,> 300 and <= 1000,14.00%
Kids shoes,> 1000,16.00%
Shoes,<= 300,15.00%
Shoes,> 300 and <= 1000,14.50%
Shoes,> 1000,16.50%
Shoes - Sandals & Floaters,All,10.50%
Wallets,<= 500,10.00%
Wallets,> 500 and <= 1000,12.50%
Wallets,> 1000,14.00%
Watches,All,14%
Cables and Adapters,<= 300,21.50%
Cables and Adapters,> 300 and <= 500,17.00%
Cables and Adapters,> 500,20.00%
Camera Accessories,<= 500,11.00%
